id;nombre;descripcion;precio;url_imagen;activo;creado;actualizado
4e2a8556-1f2e-4f11-bbde-02ccce313774;leverage non-volatile generate;e-services payment user-facing;37568;Shoes;true;2023-03-04T09:46:41;2023-03-04T10:29:14
110672d8-62aa-4b4d-aef0-f806e612d5a2;Manager Mobility parse;Refined silver;36906;Legacy utilize Car;true;2023-03-03T18:10:55;2023-03-04T12:46:01
edee9918-635e-402b-985c-61c8e8f41482;leading-edge Clothing SQL;input Profound;20161;Savings;true;2023-03-04T07:10:34;2023-03-04T03:22:18
a2866339-5dec-4384-b1c0-9872035f0198;synergistic;Metrics;45457;Regional backing;true;2023-03-04T11:43:55;2023-03-04T04:34:41
442c73a9-6d0f-4e63-983f-d7e1278dcb4d;Investor Agent;quantifying Ukraine Car;80831;bleeding-edge;false;2023-03-04T04:15:27;2023-03-03T22:32:21
bd2adb19-593b-423f-a55d-bd46d64803bf;granular XML;clicks-and-mortar;74596;Tunnel Small;false;2023-03-03T23:25:08;2023-03-04T16:18:01
bdfa5d69-6b89-4411-a20b-a8580dfbd796;SAS blue;generate Director;44646;Dynamic Loan Cotton;false;2023-03-04T16:30:06;2023-03-03T22:48:54
c4c3c006-b011-400d-a4ff-6b1ab4b55bcc;visionary Personal;Alaska;35596;edge Alabama Keyboard;false;2023-03-04T04:19:39;2023-03-04T06:10:31
5d1cbed0-6611-48d0-8bca-1c5c620fb19e;open-source Rubber;Namibia Hawaii;85204;Practical Branding;false;2023-03-03T17:19:25;2023-03-03T19:22:38
5305744e-dc02-4d1f-a00c-250ef2d81b19;capacitor synthesize;Well Granite;6208;Prairie;true;2023-03-04T04:08:10;2023-03-03T22:53:28
