id;accion;franquicia_uuid;tipo;fecha_inicio;fecha_fin
1;Small Shirt;Sausages payment;leverage;2023-03-06T08:23:22;2023-03-06T03:37:39
2;Rest Devolved Clothing;next neural ubiquitous;synthesizing Dynamic;2023-03-06T05:39:37;2023-03-06T07:29:08
3;open-source Peso Qatar;Program;synergies lavender neural;2023-03-05T23:35:34;2023-03-05T17:29:42
4;Officer redundant Customizable;Sports invoice;Principal Engineer;2023-03-06T12:49:52;2023-03-06T04:31:20
5;withdrawal Engineer;Tunisian Soft;program Communications;2023-03-05T13:59:42;2023-03-06T08:08:29
6;transmit bandwidth;virtual Frozen;copy;2023-03-05T20:49:24;2023-03-06T01:36:01
7;Bedfordshire Triple-buffered Bike;SQL Account Handcrafted;Fresh Soft;2023-03-06T01:12:14;2023-03-06T03:22:34
8;Arkansas Louisiana Account;Managed;applications integrate;2023-03-06T07:08:04;2023-03-06T06:44:51
9;lime deposit;needs-based Loan;framework Towels;2023-03-06T01:10:37;2023-03-05T13:45:19
10;Meadow;teal Computer invoice;Communications Rubber;2023-03-06T09:56:50;2023-03-05T23:24:01
