id;accion;franquicia_uuid;tipo;fecha_inicio;fecha_fin;intervalo
1;Springs upward-trending pixel;parse Team-oriented Islands;Lari Connecticut back;2023-03-06T04:40:34;2023-03-06T02:27:59;alarm
2;Iowa withdrawal;Steel Computer Port;compress Frozen monitor;2023-03-06T01:30:07;2023-03-06T01:40:54;USB withdrawal withdrawal
3;Music one-to-one;Stand-alone Dale Summit;Planner Concrete;2023-03-06T11:20:32;2023-03-06T00:33:00;matrix
4;Gorgeous Cambridgeshire;Bedfordshire;Granite Taiwan Implemented;2023-03-06T02:15:10;2023-03-06T01:19:33;Internal
5;Savings Georgia Electronics;turn-key Soft;Integration Manager invoice;2023-03-05T13:40:14;2023-03-05T16:36:38;Brand Engineer Pennsylvania
6;Orchestrator calculating;Fish;tan;2023-03-06T02:00:55;2023-03-06T00:47:13;Beauty
7;programming cross-platform;orange;value-added;2023-03-06T04:15:43;2023-03-06T01:19:20;withdrawal
8;South Account;deposit;bandwidth-monitored;2023-03-05T17:44:45;2023-03-06T00:51:45;Hryvnia
9;Customer-focused Bacon;Toys Gorgeous;invoice;2023-03-06T07:36:28;2023-03-05T16:49:09;Cambridgeshire
10;Chair white;networks;indexing Centralized challenge;2023-03-05T20:50:41;2023-03-06T09:54:24;Lev
