id;accion;franquicia_uuid;tipo;fecha_inicio;fecha_fin
1;Small Shirt;Sausages payment;leverage;2023-03-06T09:41:01;2023-03-06T04:55:18
2;Rest Devolved Clothing;next neural ubiquitous;synthesizing Dynamic;2023-03-06T06:57:16;2023-03-06T08:46:47
3;open-source Peso Qatar;Program;synergies lavender neural;2023-03-06T00:53:13;2023-03-05T18:47:21
4;Officer redundant Customizable;Sports invoice;Principal Engineer;2023-03-06T14:07:31;2023-03-06T05:48:59
5;withdrawal Engineer;Tunisian Soft;program Communications;2023-03-05T15:17:21;2023-03-06T09:26:08
6;transmit bandwidth;virtual Frozen;copy;2023-03-05T22:07:03;2023-03-06T02:53:40
7;Bedfordshire Triple-buffered Bike;SQL Account Handcrafted;Fresh Soft;2023-03-06T02:29:53;2023-03-06T04:40:13
8;Arkansas Louisiana Account;Managed;applications integrate;2023-03-06T08:25:43;2023-03-06T08:02:30
9;lime deposit;needs-based Loan;framework Towels;2023-03-06T02:28:16;2023-03-05T15:02:58
10;Meadow;teal Computer invoice;Communications Rubber;2023-03-06T11:14:29;2023-03-06T00:41:40
