id;accion;franquicia_uuid;tipo;fecha_inicio;fecha_fin;intervalo
1;Springs upward-trending pixel;parse Team-oriented Islands;Lari Connecticut back;2023-03-06T05:58:13;2023-03-06T03:45:38;alarm
2;Iowa withdrawal;Steel Computer Port;compress Frozen monitor;2023-03-06T02:47:46;2023-03-06T02:58:33;USB withdrawal withdrawal
3;Music one-to-one;Stand-alone Dale Summit;Planner Concrete;2023-03-06T12:38:11;2023-03-06T01:50:39;matrix
4;Gorgeous Cambridgeshire;Bedfordshire;Granite Taiwan Implemented;2023-03-06T03:32:49;2023-03-06T02:37:12;Internal
5;Savings Georgia Electronics;turn-key Soft;Integration Manager invoice;2023-03-05T14:57:53;2023-03-05T17:54:17;Brand Engineer Pennsylvania
6;Orchestrator calculating;Fish;tan;2023-03-06T03:18:34;2023-03-06T02:04:52;Beauty
7;programming cross-platform;orange;value-added;2023-03-06T05:33:22;2023-03-06T02:36:59;withdrawal
8;South Account;deposit;bandwidth-monitored;2023-03-05T19:02:24;2023-03-06T02:09:24;Hryvnia
9;Customer-focused Bacon;Toys Gorgeous;invoice;2023-03-06T08:54:07;2023-03-05T18:06:48;Cambridgeshire
10;Chair white;networks;indexing Centralized challenge;2023-03-05T22:08:20;2023-03-06T11:12:03;Lev
