id;id_venta;fecha;precio;menu
1;parsing;2023-03-06T12:37:58;12876;35505
2;Usability Berkshire;2023-03-06T07:36:41;6184;27690
3;Berkshire Computer;2023-03-05T19:43:40;10961;77300
4;Books Future optical;2023-03-06T08:18:34;67685;11368
5;Maryland Antigua Dollar;2023-03-06T00:01:23;93135;50593
6;viral Court;2023-03-06T06:51:46;51601;88140
7;Cheese;2023-03-05T21:49:52;65179;21981
8;Pennsylvania;2023-03-06T11:35:08;85331;69264
9;Christmas intranet Peso;2023-03-06T07:30:07;73514;61380
10;Port deliverables;2023-03-05T22:34:27;58938;88965
